Номер позиции,ЮЛ,Локация,Подразделение,Отдел,Группа,Должность,ФИО,Тип работы
БСЗ962,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Ярославль""",Главный специалист,Вакансия,Бизнес
БСЗ963,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Бремен""",Ведущий архитектор,Сотрудник Брусники 630,Бизнес
БСЗ964,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Бремен""",Ведущий архитектор,Сотрудник Брусники 631,Бизнес
БСЗ965,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Бремен""",Специалист,Сотрудник Брусники 632,Бизнес
БСЗ966,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Бремен""",Специалист,Вакансия,Бизнес
БСЗ967,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Бремен""",Руководитель мастерской,Вакансия,Бизнес
БСЗ968,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Бремен""",Главный специалист-архитектор,Сотрудник Брусники 633,Бизнес
БСЗ969,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Бремен""",Специалист,Вакансия,Бизнес
БСЗ970,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Лиссабон""",Руководитель мастерской,Вакансия,Бизнес
БСЗ971,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Лиссабон""",Главный специалист-архитектор,Вакансия,Бизнес
БСЗ972,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Лиссабон""",Специалист,Вакансия,Бизнес
БСЗ973,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Лиссабон""",Специалист,Вакансия,Бизнес
БСЗ974,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Лиссабон""",Ведущий архитектор,Вакансия,Бизнес
БСЗ975,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Лиссабон""",Ведущий архитектор,Вакансия,Бизнес
БСЗ976,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Лиссабон""",Специалист,Вакансия,Бизнес
БСЗ977,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Актобе""",Руководитель мастерской,Сотрудник Брусники 634,Бизнес
БСЗ978,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Актобе""",Специалист,Сотрудник Брусники 635,Бизнес
БСЗ979,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Актобе""",Специалист,Вакансия,Бизнес
БСЗ980,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Актобе""",Ведущий архитектор,Сотрудник Брусники 636,Бизнес
БСЗ981,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Актобе""",Специалист,Сотрудник Брусники 637,Бизнес
БСЗ982,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Актобе""",Специалист,Сотрудник Брусники 638,Бизнес
БСЗ983,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Актобе""",Ведущий архитектор,Вакансия,Бизнес
БСЗ984,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Актобе""",Специалист,Вакансия,Бизнес
БСЗ985,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Севастополь""",Ведущий архитектор,Сотрудник Брусники 639,Бизнес
БСЗ986,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Севастополь""",Специалист,Сотрудник Брусники 640,Бизнес
БСЗ987,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Севастополь""",Специалист,Сотрудник Брусники 641,Бизнес
БСЗ988,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Севастополь""",Руководитель мастерской,Сотрудник Брусники 642,Бизнес
БСЗ989,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Севастополь""",Главный специалист-архитектор,Вакансия,Бизнес
БСЗ990,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Севастополь""",Специалист,Вакансия,Бизнес
БСЗ991,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""","Группа ""Севастополь""",Ведущий архитектор,Вакансия,Бизнес
БСЗ992,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Ватикан""",,Руководитель отдела,Сотрудник Брусники 643,Бизнес
БСЗ993,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Греция""",,Ведущий инженер,Сотрудник Брусники 644,Бизнес
БСЗ994,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Греция""",,Главный специалист-инженер,Вакансия,Бизнес
БСЗ995,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Греция""",,Главный специалист,Сотрудник Брусники 645,Бизнес
БСЗ996,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Греция""",,Главный специалист-инженер,Сотрудник Брусники 646,Бизнес
БСЗ997,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Греция""",,Руководитель отдела,Вакансия,Бизнес
БСЗ998,БСЗ,Брусника.Проектирование,"Подразделение ""Ахилл""",,"Группа ""Дрезден""",Специалист,Сотрудник Брусники 647,Бизнес
БСЗ999,БСЗ,Брусника.Проектирование,"Подразделение ""Ахилл""",,"Группа ""Дрезден""",Специалист,Сотрудник Брусники 648,Бизнес
БСЗ1000,БСЗ,Брусника.Проектирование,"Подразделение ""Ахилл""",,"Группа ""Дрезден""",Ведущий технолог,Вакансия,Бизнес
БСЗ1001,БСЗ,Брусника.Проектирование,"Подразделение ""Ахилл""",,"Группа ""Дрезден""",Главный специалист-архитектор,Сотрудник Брусники 649,Бизнес
БСЗ1002,БСЗ,Брусника.Проектирование,"Подразделение ""Ахилл""",,"Группа ""Дрезден""",Руководитель группы,Сотрудник Брусники 650,Бизнес
БСЗ1003,БСЗ,Брусника.Проектирование,"Подразделение ""Ахилл""",,,Специалист,Сотрудник Брусники 651,Бизнес
БСЗ1004,БСЗ,Брусника.Проектирование,"Подразделение ""Ахилл""",,,Специалист,Сотрудник Брусники 652,Бизнес
БСЗ1005,БСЗ,Брусника.Проектирование,"Подразделение ""Ахилл""",,,Специалист,Сотрудник Брусники 653,Бизнес
БСЗ1006,БСЗ,Брусника.Проектирование,"Подразделение ""Ахилл""",,,Специалист,Сотрудник Брусники 654,Бизнес
БСЗ1007,БСЗ,Брусника.Проектирование,"Подразделение ""Ахилл""",,,Главный инженер,Сотрудник Брусники 655,Бизнес
БСЗ1008,БСЗ,Брусника.Проектирование,"Подразделение ""Ахилл""",,,Специалист,Сотрудник Брусники 656,Бизнес
БСЗ1009,БСЗ,Брусника.Проектирование,"Подразделение ""Ахилл""",,,Специалист,Сотрудник Брусники 657,Бизнес
БСЗ1010,БСЗ,Брусника.Проектирование,"Подразделение ""Ахилл""",,,Специалист,Сотрудник Брусники 658,Бизнес
БСЗ1011,БСЗ,Брусника.Проектирование,"Подразделение ""Ахилл""",,,Главный аналитик,Сотрудник Брусники 659,Бизнес
БСЗ1012,БСЗ,Брусника.Проектирование,"Подразделение ""Ахилл""",,,Руководитель подразделения,Сотрудник Брусники 660,Бизнес
БСЗ1013,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,"Группа ""Лондон""",Руководитель группы,Сотрудник Брусники 661,Бизнес
БСЗ1014,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,"Группа ""Лондон""",Ведущий инженер,Вакансия,Бизнес
БСЗ1015,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,"Группа ""Лондон""",Ведущий инженер,Сотрудник Брусники 662,Бизнес
БСЗ1016,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,"Группа ""Лондон""",Ведущий инженер,Сотрудник Брусники 663,Бизнес
БСЗ1017,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,"Группа ""Лондон""",Ведущий конструктор,Сотрудник Брусники 664,Бизнес
БСЗ1018,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,"Группа ""Лондон""",Специалист,Сотрудник Брусники 665,Бизнес
БСЗ1019,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,"Группа ""Шеффилд""",Ведущий BIM-координатор,Сотрудник Брусники 666,Бизнес
БСЗ1020,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,"Группа ""Шеффилд""",Специалист,Сотрудник Брусники 667,Бизнес
БСЗ1021,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,"Группа ""Шеффилд""",Специалист,Сотрудник Брусники 668,Сервис
БСЗ1022,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,"Группа ""Шеффилд""",Главный BIM-менеджер,Сотрудник Брусники 669,Сервис
БСЗ1023,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,"Группа ""Шеффилд""",Специалист,Сотрудник Брусники 670,Сервис
БСЗ1024,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,"Группа ""Шеффилд""",Главный BIM-менеджер,Вакансия,Сервис
БСЗ1025,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,"Группа ""Шеффилд""",Ведущий BIM-менеджер,Сотрудник Брусники 671,Сервис
БСЗ1026,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,"Группа ""Шеффилд""",Руководитель группы,Сотрудник Брусники 672,Сервис
БСЗ1027,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Специалист,Сотрудник Брусники 673,Сервис
БСЗ1028,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Руководитель проекта,Сотрудник Брусники 674,Сервис
БСЗ1029,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Главный инженер,Сотрудник Брусники 675,Сервис
БСЗ1030,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Специалист,Сотрудник Брусники 676,Сервис
БСЗ1031,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Специалист,Сотрудник Брусники 677,Бизнес
БСЗ1032,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Специалист,Сотрудник Брусники 678,Сервис
БСЗ1033,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Специалист,Сотрудник Брусники 679,Сервис
БСЗ1034,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Специалист,Сотрудник Брусники 680,Сервис
БСЗ1035,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Специалист,Сотрудник Брусники 681,Сервис
БСЗ1036,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Специалист,Сотрудник Брусники 682,Сервис
БСЗ1037,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Специалист,Сотрудник Брусники 683,Сервис
БСЗ1038,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Специалист,Сотрудник Брусники 684,Сервис
БСЗ1039,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Специалист,Сотрудник Брусники 685,Сервис
БСЗ1040,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Главный инженер,Сотрудник Брусники 686,Сервис
БСЗ1041,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Специалист,Сотрудник Брусники 687,Бизнес
БСЗ1042,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Специалист,Сотрудник Брусники 688,Бизнес
БСЗ1043,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Специалист,Сотрудник Брусники 689,Бизнес
БСЗ1044,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Специалист,Вакансия,Бизнес
БСЗ1045,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Специалист,Сотрудник Брусники 690,Бизнес
БСЗ1046,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Специалист,Сотрудник Брусники 691,Бизнес
БСЗ1047,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Специалист,Вакансия,Бизнес
БСЗ1048,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Специалист,Сотрудник Брусники 692,Бизнес
БСЗ1049,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Специалист,Вакансия,Бизнес
БСЗ1050,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Ведущий экономист,Сотрудник Брусники 693,Бизнес
БСЗ1051,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,,Руководитель подразделения,Сотрудник Брусники 694,Сервис
БСЗ1052,БСЗ,Брусника.Проектирование,"Подразделение ""Гефест""","Отдел ""Испания""",,Руководитель отдела,Сотрудник Брусники 695,Бизнес
БСЗ1053,БСЗ,Штаб,"Подразделение ""Гефест""","Отдел ""Испания""",,Главный специалист,Сотрудник Брусники 696,Бизнес
БСЗ1054,БСЗ,Штаб,"Подразделение ""Гефест""","Отдел ""Испания""",,Ведущий специалист,Сотрудник Брусники 697,Бизнес
БСЗ1055,БСЗ,Штаб,"Подразделение ""Гефест""","Отдел ""Испания""",,Ведущий специалист,Вакансия,Бизнес
БСЗ1056,БСЗ,Штаб,"Подразделение ""Гефест""","Отдел ""Испания""",,Главный специалист,Сотрудник Брусники 698,Бизнес
БСЗ1057,БСЗ,Штаб,"Подразделение ""Гефест""","Отдел ""Испания""",,Ведущий специалист,Вакансия,Бизнес
БСЗ1058,БСЗ,Штаб,"Подразделение ""Гефест""","Отдел ""Испания""",,Ведущий специалист,Вакансия,Бизнес
БСЗ1059,БСЗ,Штаб,"Подразделение ""Гефест""","Отдел ""Испания""",,Специалист,Вакансия,Бизнес
БСЗ1060,БСЗ,Штаб,"Подразделение ""Гефест""","Отдел ""Италия""","Группа ""Манчестер""",Ведущий специалист,Вакансия,Бизнес
БСЗ1061,БСЗ,Штаб,"Подразделение ""Гефест""","Отдел ""Италия""","Группа ""Манчестер""",Руководитель группы,Сотрудник Брусники 699,Бизнес
БСЗ1062,БСЗ,Штаб,"Подразделение ""Гефест""","Отдел ""Италия""","Группа ""Манчестер""",Ведущий специалист,Вакансия,Бизнес
БСЗ1063,БСЗ,Штаб,"Подразделение ""Гефест""","Отдел ""Италия""","Группа ""Манчестер""",Ведущий специалист,Вакансия,Бизнес
БСЗ1064,БСЗ,Штаб,"Подразделение ""Гефест""","Отдел ""Италия""","Группа ""Ставрополь""",Главный специалист,Сотрудник Брусники 700,Бизнес
БСЗ1065,БСЗ,Штаб,"Подразделение ""Гефест""","Отдел ""Италия""","Группа ""Ставрополь""",Ведущий специалист,Вакансия,Бизнес
БСЗ1066,БСЗ,Штаб,"Подразделение ""Гефест""","Отдел ""Италия""",,Руководитель отдела,Вакансия,Бизнес
БСЗ1067,БСЗ,Штаб,"Подразделение ""Гефест""","Отдел ""Украина""",,Главный аналитик,Сотрудник Брусники 701,Бизнес
БСЗ1068,БСЗ,Штаб,"Подразделение ""Гефест""","Отдел ""Украина""",,Ведущий аналитик,Сотрудник Брусники 702,Бизнес
БСЗ1069,БСЗ,Штаб,"Подразделение ""Гефест""","Отдел ""Украина""",,Руководитель проектов,Сотрудник Брусники 703,Бизнес
БСЗ1070,БСЗ,Штаб,"Подразделение ""Гефест""",,"Группа ""Набережные Челны""",Руководитель группы,Сотрудник Брусники 704,Бизнес
БСЗ1071,БСЗ,Штаб,"Подразделение ""Гефест""",,"Группа ""Набережные Челны""",Главный специалист,Сотрудник Брусники 705,Бизнес
БСЗ1072,БСЗ,Штаб,"Подразделение ""Гефест""",,"Группа ""Брадфорд""",Руководитель службы,Сотрудник Брусники 706,Бизнес
БСЗ1073,БСЗ,Штаб,"Подразделение ""Гефест""",,"Группа ""Брадфорд""",Ведущий специалист,Сотрудник Брусники 707,Бизнес
БСЗ1074,БСЗ,Штаб,"Подразделение ""Гефест""",,"Группа ""Дублин""",Руководитель группы,Сотрудник Брусники 708,Бизнес
БСЗ1075,БСЗ,Штаб,"Подразделение ""Гефест""",,"Группа ""Дублин""",Ведущий специалист,Вакансия,Бизнес
БСЗ1076,БСЗ,Штаб,"Подразделение ""Гефест""",,"Группа ""Дублин""",Ведущий специалист,Вакансия,Бизнес
БСЗ1077,БСЗ,Штаб,"Подразделение ""Гефест""",,"Группа ""Дублин""",Главный специалист,Сотрудник Брусники 709,Бизнес
БСЗ1078,БСЗ,Штаб,"Подразделение ""Гефест""",,"Группа ""Дублин""",Главный специалист,Сотрудник Брусники 710,Бизнес
БСЗ1079,БСЗ,Штаб,"Подразделение ""Гефест""",,"Группа ""Дублин""",Главный специалист-инженер,Сотрудник Брусники 711,Бизнес
БСЗ1080,БСЗ,Штаб,"Подразделение ""Гефест""",,,Руководитель подразделения,Сотрудник Брусники 712,Сервис
БСЗ1081,БСЗ,Штаб,"Подразделение ""Гефест""",,"Группа ""Набережные Челны""",Ведущий специалист,Сотрудник Брусники 713,Сервис
БСЗ1082,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Набережные Челны""",Ведущий специалист,Вакансия,Сервис
БСЗ1083,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Набережные Челны""",Ведущий специалист,Сотрудник Брусники 714,Сервис
БСЗ1084,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Набережные Челны""",Главный специалист,Вакансия,Сервис
БСЗ1085,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Набережные Челны""",Ведущий специалист,Сотрудник Брусники 715,Сервис
БСЗ1086,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Набережные Челны""",Ведущий специалист,Сотрудник Брусники 716,Сервис
БСЗ1087,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Набережные Челны""",Ведущий специалист,Сотрудник Брусники 717,Сервис
БСЗ1088,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Набережные Челны""",Руководитель группы,Сотрудник Брусники 718,Сервис
БСЗ1089,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Ставрополь""",Ведущий специалист,Сотрудник Брусники 719,Сервис
БСЗ1090,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Ставрополь""",Ведущий специалист,Сотрудник Брусники 720,Бизнес
БСЗ1091,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Манчестер""",Специалист,Вакансия,Бизнес
БСЗ1092,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Ставрополь""",Руководитель группы,Сотрудник Брусники 721,Бизнес
БСЗ1093,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Манчестер""",Руководитель группы,Сотрудник Брусники 722,Бизнес
БСЗ1094,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Манчестер""",Ведущий специалист,Сотрудник Брусники 723,Бизнес
БСЗ1095,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Манчестер""",Ведущий специалист,Сотрудник Брусники 724,Бизнес
БСЗ1096,БСЗ,Брусника.Тюмень,"Подразделение ""Афина""",,,Специалист,Сотрудник Брусники 725,Бизнес
БСЗ1097,БСЗ,Брусника.Курган,"Подразделение ""Гефест""",,"Группа ""Ставрополь""",Ведущий специалист,Сотрудник Брусники 726,Сервис
БСЗ1098,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Оренбург""",Специалист,Сотрудник Брусники 727,Бизнес
БСЗ1099,БСЗ,Брусника.Тюмень,"Подразделение ""Гермес""","Отдел ""Болгария""",,Специалист,Сотрудник Брусники 728,Бизнес
БСЗ1100,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Оренбург""",Специалист,Сотрудник Брусники 729,Бизнес
БСЗ1101,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Оренбург""",Ведущий инженер,Вакансия,Бизнес
БСЗ1102,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Брадфорд""",Специалист,Сотрудник Брусники 730,Бизнес
БСЗ1103,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Брадфорд""",Ведущий инженер,Сотрудник Брусники 731,Бизнес
БСЗ1104,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Брадфорд""",Ведущий инженер,Сотрудник Брусники 732,Бизнес
БСЗ1105,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Брадфорд""",Специалист,Сотрудник Брусники 733,Бизнес
БСЗ1106,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Брадфорд""",Специалист,Сотрудник Брусники 734,Сервис
БСЗ1107,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Брадфорд""",Специалист,Вакансия,Сервис
БСЗ1108,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Брадфорд""",Специалист,Вакансия,Сервис
БСЗ1109,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Оренбург""",Специалист,Сотрудник Брусники 735,Сервис
БСЗ1110,БСЗ,Брусника.Омск,"Подразделение ""Гефест""",,"Группа ""Дублин""",Специалист,Сотрудник Брусники 736,Сервис
БСЗ1111,БСЗ,Брусника.Омск,"Подразделение ""Гефест""",,"Группа ""Брадфорд""",Специалист,Сотрудник Брусники 737,Сервис
БСЗ1112,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Дублин""",Специалист,Сотрудник Брусники 738,Бизнес
БСЗ1113,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Дублин""",Специалист,Сотрудник Брусники 739,Сервис
БСЗ1114,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Дублин""",Ведущий специалист,Вакансия,Сервис
БСЗ1115,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Дублин""",Ведущий специалист,Сотрудник Брусники 740,Бизнес
БСЗ1116,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Дублин""",Ведущий специалист,Сотрудник Брусники 741,Бизнес
БСЗ1117,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Дублин""",Специалист,Вакансия,Бизнес
БСЗ1118,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Дублин""",Специалист,Сотрудник Брусники 742,Бизнес
БСЗ1119,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Дублин""",Руководитель группы,Сотрудник Брусники 743,Бизнес
БСЗ1120,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Дублин""",Специалист,Сотрудник Брусники 744,Бизнес
БСЗ1121,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,,Руководитель проекта,Сотрудник Брусники 745,Бизнес
БСЗ1122,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,,Руководитель проекта,Сотрудник Брусники 746,Бизнес
БСЗ1123,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,,Руководитель проекта,Сотрудник Брусники 747,Бизнес
БСЗ1124,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,,Руководитель проекта,Сотрудник Брусники 748,Бизнес
БСЗ1125,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,,Руководитель проекта,Сотрудник Брусники 749,Бизнес
БСЗ1126,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,,Руководитель проекта,Сотрудник Брусники 750,Бизнес
БСЗ1127,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,,Специалист,Сотрудник Брусники 751,Бизнес
БСЗ1128,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,,Руководитель проекта,Сотрудник Брусники 752,Бизнес
БСЗ1129,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,,Специалист,Вакансия,Бизнес
БСЗ1130,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Набережные Челны""",Главный специалист,Сотрудник Брусники 753,Бизнес
БСЗ1131,БСЗ,Брусника.Сургут,"Подразделение ""Гефест""",,"Группа ""Набережные Челны""",Главный специалист,Вакансия,Бизнес
БСЗ1132,БСЗ,Брусника.Сургут,"Подразделение ""Гефест""",,"Группа ""Набережные Челны""",Главный специалист,Сотрудник Брусники 754,Бизнес
БСЗ1133,БСЗ,Брусника.Сургут,"Подразделение ""Гефест""",,"Группа ""Набережные Челны""",Руководитель группы,Вакансия,Бизнес
БСЗ1134,БСЗ,Брусника.Сургут,"Подразделение ""Гефест""",,"Группа ""Ставрополь""",Ведущий специалист,Сотрудник Брусники 755,Бизнес
БСЗ1135,БСЗ,Брусника.Сургут,,"Отдел ""Литва""",,Главный юрисконсульт,Сотрудник Брусники 756,Бизнес
БСЗ1136,БСЗ,Брусника.Тюмень,"Подразделение ""Гефест""",,"Группа ""Ставрополь""",Руководитель группы,Вакансия,Бизнес
БСЗ1137,БСЗ,Брусника.Сургут,"Подразделение ""Гефест""",,"Группа ""Манчестер""",Главный специалист,Сотрудник Брусники 757,Бизнес
БСЗ1138,БСЗ,Брусника.Сургут,"Подразделение ""Гефест""",,"Группа ""Оренбург""",Ведущий инженер,Сотрудник Брусники 758,Бизнес
БСЗ1139,БСЗ,Брусника.Сургут,"Подразделение ""Гефест""",,"Группа ""Оренбург""",Ведущий инженер,Сотрудник Брусники 759,Бизнес
БСЗ1140,БСЗ,Брусника.Сургут,"Подразделение ""Гефест""",,"Группа ""Брадфорд""",Специалист,Сотрудник Брусники 760,Бизнес
БСЗ1141,БСЗ,Брусника.Сургут,"Подразделение ""Гефест""",,"Группа ""Брадфорд""",Ведущий инженер,Сотрудник Брусники 761,Бизнес
БСЗ1142,БСЗ,Брусника.Сургут,"Подразделение ""Гефест""",,"Группа ""Брадфорд""",Специалист,Сотрудник Брусники 762,Бизнес
БСЗ1143,БСЗ,Брусника.Сургут,"Подразделение ""Гефест""",,"Группа ""Брадфорд""",Специалист,Вакансия,Бизнес
БСЗ1144,БСЗ,Брусника.Сургут,"Подразделение ""Гефест""",,"Группа ""Брадфорд""",Специалист,Сотрудник Брусники 763,Бизнес
БСЗ1145,БСЗ,Брусника.Сургут,"Подразделение ""Гефест""",,"Группа ""Дублин""",Специалист,Вакансия,Бизнес
БСЗ1146,БСЗ,Брусника.Сургут,"Подразделение ""Гефест""",,"Группа ""Дублин""",Главный специалист,Сотрудник Брусники 764,Бизнес
БСЗ1147,БСЗ,Брусника.Сургут,"Подразделение ""Гефест""",,"Группа ""Дублин""",Ведущий специалист,Сотрудник Брусники 765,Бизнес
